amfi_code,scheme_name,category,cagr_1yr,cagr_3yr,cagr_4yr_horizon
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,-0.02224270997710287,0.01292649342495622,0.026370743672111008
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.03704968580461343,0.039163899571040384,0.04458209619173137
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.5323239623092084,0.32442459421956116,0.3012315310072722
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.4792412023860102,0.2896769452874166,0.2353836133468803
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-0.23986031710270628,-0.04152381044854481,0.07938764837247714
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.0723664530138024,0.06315784491375509,0.06509026855465327
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.20207703983094838,0.1966726206830185,0.18232378887705947
102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.16797480944407306,-0.007674063178547241,0.011717454918341197
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.135831349444816,0.25556187904126526,0.16841120247307528
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.339810484550213,0.22652359830098634,0.24049492662391758
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.25539980483954094,0.2108997654925684,0.16274217354504272
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.15811221971300937,0.08007927728656083,0.16373474033415758
118635,Nippon India ETF Nifty 50 BeES,Equity,0.22493224932249345,0.20008208380471482,0.15957231179671738
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.10454939683040276,0.040622050237771434,0.05316889625171273
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.016091186722522632,0.005258871209757432,0.06367989237605243
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.197667410165155,0.20816771175535864,0.07897557854375958
119094,Axis Midcap Fund - Regular - Growth,Equity,0.22261065131342206,0.35111802096428524,0.2821441719365203
119095,Axis Small Cap Fund - Regular - Growth,Equity,-0.427976145588544,-0.11705806723995271,0.015215045330823962
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.055219955107626895,0.05840358798463097,0.05889418716346717
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.6043734071403091,0.3045652442030289,0.25804686425584
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.05706100044974027,0.16267372294624916,0.21524235873769704
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.8277605861507404,0.2666992200118774,0.32423536152454613
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.1394780335518997,-0.01337386614488112,0.02054484701809378
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.08489081269294418,0.13978381933703043,0.18785325598262204
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.13064279264417977,0.3248742855621496,0.2329511862010305
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.29604659337893646,0.317775371512347,0.3282740607461121
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.4181904829701364,0.1842199653744454,0.1708486725575018
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.0742505077613469,0.07394286300360076,0.07237539728384412
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.16837098075385626,0.1726727508371786,0.1353221114899239
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.2250195657587366,0.07756003551327284,0.06701543482038463
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.26657081760850154,0.2958277033726251,0.3090745475400549
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.07120323042122512,0.06695971624586994,0.06915272985067156
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.2867535802656873,0.18434488610520172,0.19017795344711463
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.15443720834451846,0.11245222866621418,0.11301817123279978
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.20360678307711866,0.3400091602163293,0.3097410750185903
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.14269394138778924,0.14748035533586012,0.2251686900711385
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.3975176148971702,0.2917890157839378,0.3194952310833252
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.1811115252275146,0.18044206486636138,0.13393275924001857
149323,DSP Midcap Fund - Regular - Growth,Equity,0.21481222193726257,0.268699908289022,0.29581086910433996
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.6513871892998797,0.27000426614519246,0.3228744045157361
