amfi_code,scheme_name,category,alpha,beta,r_squared
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.03305739896740714,0.01002425498469871,0.00023275094682825758
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.04421373321008338,-0.00519295646361528,0.0008668312403764405
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.2637421064185406,0.03194955596929941,0.0013954762117509806
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.2189849873045256,-0.016563232319386185,0.0006336938755434039
101207,ABSL Small Cap Fund - Regular - Growth,Equity,0.11969280859137324,-0.048603884021591104,0.0017401816088941278
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.06068666085089296,0.0006986790252850981,0.0009330527637540008
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.1718219803462218,-0.00738363091611685,0.00016219591046715505
102886,UTI Mid Cap Fund - Regular - Growth,Equity,0.03105222568403412,-0.012900202466497791,0.00024807334696601296
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.16086056100273333,0.006739632435899067,8.967097375308064e-05
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.21604529457710409,0.0076038522174870105,0.0001415981189245951
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.15823195814800076,-0.011151545249823315,0.0003111636074922257
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.17817740763310738,5.404802887021974e-05,2.2476596990318752e-09
118635,Nippon India ETF Nifty 50 BeES,Equity,0.15150439973311333,-0.0007061474679614954,1.4502135157652603e-06
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.0509825447193827,-0.00074887111213031,1.730780894564164e-05
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.06266607789218161,0.025307066198651276,0.0016132285119971569
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.07884415057944709,0.016341279539428395,0.000669506689875844
119094,Axis Midcap Fund - Regular - Growth,Equity,0.25949494004102347,-0.0029285995062782915,1.1163484702535796e-05
119095,Axis Small Cap Fund - Regular - Growth,Equity,0.0578946407240237,-0.045579881508415514,0.00162090695626381
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.055753059429118075,0.0009871198451448292,3.0353137447945805e-05
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.23773993539556662,-0.02560550153683231,0.0017021754839679861
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.20739635837062403,-0.03632772777157764,0.003329601088498133
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.31511086447214537,-0.04755096959775992,0.0017537597358296868
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.04778435590819959,0.01125315688373438,9.972525841697239e-05
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.17142769619430487,0.016670068927970738,0.0007066755891864911
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.22239768652489797,-0.03798759983523303,0.003428846665256789
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.29814439463600517,-0.020966386152976926,0.0005790843599407522
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.15870253497950756,0.019566698561233362,0.000809110304019427
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.06748011127029044,-0.00012091461430341243,2.9380502032496578e-05
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.13666944329070402,-0.01955350742890469,0.0010339896413750745
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.08017178058196259,-0.006000994008274442,5.513135836775642e-05
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.2720365597758032,0.002159677466680856,9.059341245313151e-06
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.06478627941748204,-0.0009232882056709886,0.0015860069181381207
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.188349941347337,-0.036461651927098646,0.0030288755790572647
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.11993295466812817,0.0009034489481717184,1.1880150862862766e-06
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.2677212170033785,0.010861732566386569,0.0002870836329746784
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.2111019789498633,-0.012155149881301182,0.00030425577115930364
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.2831148218509518,0.0005604361140506608,4.929286661114204e-07
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.13691768735105483,-0.020274334415411745,0.000978042415133622
149323,DSP Midcap Fund - Regular - Growth,Equity,0.2684626530458333,-0.009752722181865847,0.00014806241506497053
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.2934532052078788,0.02854999752567132,0.000647595284156057
