amfi_code,scheme_name,category,annualized_downside_volatility,sortino_ratio
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.0835128521518683,-0.47402908617626455
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.02353872814817527,-0.9368240262980957
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.11322875898057064,1.9782415563733549
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.08315720784547669,1.9366676325553622
101207,ABSL Small Cap Fund - Regular - Growth,Equity,0.15178612429005944,0.07532035065690008
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.002458866216558455,-0.9424113241913644
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.07305491141338037,1.5089884882462232
102886,UTI Mid Cap Fund - Regular - Growth,Equity,0.1075008422459035,-0.4995812414092814
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.0896674021955674,1.0806965406714302
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.08271674998912053,2.006101046625039
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.0782269062003422,1.169260488689791
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.1518221078451661,0.6087347933716846
118635,Nippon India ETF Nifty 50 BeES,Equity,0.07585343266171603,1.1657727618226195
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.02316711154903751,-0.5951176201300644
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.08168850530540543,-0.04497554821913929
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.08204081121836755,0.13452313086260723
119094,Axis Midcap Fund - Regular - Growth,Equity,0.11370357218085253,1.8096150404093487
119095,Axis Small Cap Fund - Regular - Growth,Equity,0.14856565206962127,-0.33880608442548255
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.023856618826714023,-0.3469943542854634
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.07757590272699,2.355442988816458
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.0825463250960379,1.7174657209490327
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.14185734802451813,1.7338308222935819
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.1511658935959317,-0.2990071139975282
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.0828092306606335,1.3952269185117352
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.0816751800813689,1.9433122233606153
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.11217995669684916,2.2268786737823087
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.09017978330852094,1.1004691944415947
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.0023271408138066385,2.015218074606992
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.07715031298268796,0.844624019651387
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.10906710855119689,-0.004267457809434812
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.08780631873642598,2.636296322252091
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.002426739855581489,0.655320245610487
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.08552176122236871,1.3770186418561907
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.10842807119958986,0.4034894873523506
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.08616799887021052,2.693806285438232
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.08753269187849352,1.7281827987860652
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.10166295570138449,2.374829157719793
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.08739635454822768,0.7303459230348194
149323,DSP Midcap Fund - Regular - Growth,Equity,0.10714523733176573,2.042241624348083
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.14565515733818332,1.6797047388973154
