amfi_code,scheme_name,category,annualized_volatility,sharpe_ratio
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.14548134802183876,-0.2721140649836499
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.039052455281001604,-0.5646673408633963
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.18936710835214166,1.1828550287382273
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.14568212847454326,1.1054744637133394
101207,ABSL Small Cap Fund - Regular - Growth,Equity,0.2579732221707774,0.044316941154499995
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.005064371352310742,-0.45756189780572787
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.1283662839786056,0.8587848531239852
102886,UTI Mid Cap Fund - Regular - Growth,Equity,0.18134576297311303,-0.296149208789148
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.15758366917912994,0.6149320666825618
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.14148352294996655,1.1728444080748388
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.13997213649186155,0.6534702753345542
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.2524152094634046,0.3661403749989948
118635,Nippon India ETF Nifty 50 BeES,Equity,0.12983158874316306,0.6810966925984828
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.03985538155388262,-0.3459296022975301
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.13950661341123835,-0.026335563737630727
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.13983295593638856,0.07892550586303475
119094,Axis Midcap Fund - Regular - Growth,Equity,0.1940711742333472,1.060228007480078
119095,Axis Small Cap Fund - Regular - Growth,Equity,0.2506658023260044,-0.20080500168253368
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.039670623690338705,-0.20867108391910902
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.13741434141879644,1.3297419635589924
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.13939367612717501,1.0170510433587854
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.25140578624384674,0.978325304474797
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.24950125122855862,-0.18116012387277072
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.1388443751311979,0.8321379069896668
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.14363780566736659,1.1050041808969495
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.19290949406318192,1.2949655713275463
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.15230516379673065,0.6515870573166731
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.0049391262595120155,0.949499159108782
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.13463795800784448,0.4839868966595874
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.17894715006571876,-0.0026009874086753877
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.1588698652360926,1.4570634576376886
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.005133170487371137,0.309806923830979
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.14668866752399518,0.802823159248561
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.1835243008733578,0.23838579771033364
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.1419370675462035,1.6353719361198418
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.15429144469823294,0.9804334435503909
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.17674006691346694,1.36602953521473
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.14353859818510506,0.44468576424363637
149323,DSP Midcap Fund - Regular - Growth,Equity,0.17746159397550842,1.2330356029586047
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.24840205005242097,0.9849260824302771
